"„all the latest parameter estimates for Buzzerbeater in one big sheet, scroll at will“",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.30,.35,.53,.40,.05,.66,.63,.51,.63,.07,4.13,,,Rebounding,,,,,4.2%,,,0.10,,,0.224924985,,,1-3-1 Zone,,,,20%,20%,,0.81,,,19,colossal,,,,1.5%,,3.7%,,,19,,1,medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,7%,9%,13%,10%,1%,16%,15%,12%,15%,2%,,,,Offensive Flow,,,,,7.3%,,,,,,,,,Full Court Press,,,,20%,20%,,0.63,,,20,legendary ,,,,1.4%,,3.6%,,,20,,2,high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outside Scoring,,,,,,,,,,,,,,Inside Scoring,,,,,,,,,,,,,,Perimeter Defense,,,,,,,,,,,,,,Inside Defense,,,,,,,,,,,,,,Rebounding,,,,,,,,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.08,.12,.00,.02,.00,.01,.00,.00,.00,.00,.24,32%,,PG,.00,.00,.00,.01,.00,.01,.01,.00,.00,.00,.04,6%,,PG,.00,.00,.16,.02,.00,.01,.00,.00,.01,.00,.20,28%,,PG,.00,.00,.00,.01,.00,.01,.00,.00,.00,.00,.04,6%,,PG,.00,.01,.00,.00,.00,.01,.01,.00,.07,.00,.10,15%,,PG,.00,.00,.00,.08,.01,.23,.01,.00,.00,.00,.32,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.11,.09,.00,.01,.00,.02,.00,.00,.00,.00,.24,33%,,SG,.00,.01,.00,.00,.00,.01,.01,.00,.00,.00,.03,5%,,SG,.00,.00,.20,.02,.00,.01,.00,.00,.00,.01,.24,34%,,SG,.00,.00,.00,.01,.00,.02,.00,.00,.00,.01,.04,6%,,SG,.00,.01,.00,.00,.00,.01,.01,.00,.06,.00,.08,13%,,SG,.00,.00,.00,.03,.00,.11,.01,.00,.00,.00,.15,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.07,.03,.00,.01,.00,.01,.00,.00,.01,.00,.14,19%,,SF,.00,.01,.00,.00,.00,.01,.12,.00,.00,.00,.15,22%,,SF,.00,.00,.12,.02,.00,.01,.00,.00,.00,.01,.16,22%,,SF,.00,.00,.00,.01,.00,.01,.00,.09,.01,.02,.14,21%,,SF,.00,.01,.00,.00,.00,.01,.01,.00,.11,.00,.14,22%,,SF,.00,.00,.00,.03,.00,.09,.01,.00,.00,.00,.13,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.02,.02,.00,.01,.01,.01,.00,.00,.00,.00,.06,9%,,PF,.00,.01,.00,.00,.00,.01,.17,.00,.01,.00,.20,29%,,PF,.00,.00,.04,.02,.00,.00,.00,.00,.01,.01,.07,10%,,PF,.00,.00,.00,.01,.00,.00,.00,.16,.01,.01,.19,29%,,PF,.00,.01,.00,.00,.00,.01,.01,.00,.12,.00,.15,23%,,PF,.00,.00,.00,.02,.00,.02,.01,.00,.00,.00,.04,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.01,.00,.02,.01,.00,.00,.00,.01,.00,.05,7%,,C,.00,.00,.00,.00,.00,.00,.25,.00,.01,.00,.27,39%,,C,.00,.00,.01,.02,.00,.00,.00,.00,.00,.01,.04,5%,,C,.00,.00,.00,.01,.00,.00,.00,.23,.01,.01,.26,39%,,C,.00,.01,.00,.00,.00,.01,.01,.00,.14,.00,.18,27%,,C,.00,.00,.00,.01,.00,.00,.01,.00,.01,.00,.03,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.28,.28,.00,.07,.02,.05,.00,.00,.03,.00,.73,,,abs,.00,.03,.00,.02,.01,.04,.56,.00,.02,.00,.69,,,abs,.00,.00,.52,.09,.00,.04,.00,.01,.02,.03,.71,,,abs,.00,.00,.01,.05,.00,.05,.00,.49,.03,.05,.67,,,abs,.01,.05,.00,.00,.00,.04,.04,.01,.51,.00,.65,,,abs,.00,.00,.00,.16,.01,.45,.04,.00,.01,.00,.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,39%,38%,%,10%,3%,7%,%,%,4%,%,,,,rel,1%,5%,%,3%,2%,6%,81%,%,3%,%,,,,rel,%,%,74%,13%,%,5%,%,1%,3%,4%,,,,rel,%,%,2%,7%,%,7%,%,73%,4%,7%,,,,rel,2%,7%,%,%,%,7%,5%,1%,78%,%,,,,rel,%,%,%,24%,2%,66%,5%,%,2%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,cell,energy1,,energy2,,,,,,,,,,,cell,energy1,,energy2,,,,,,,,,,,cell,energy1,,energy2,,,,,,,,,,,cell,energy1,,energy2,,,,,,,,,,,cell,energy1,,energy2,,,,,,,,,,,cell,energy1,,energy2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Offense,,,,,,,51,4,,0.87316418,,,,Base Offense,,,,,,,51,4,,0.559879305,,,,Base Offense,,,,,,,51,4,,0.55,,,,Base Offense,,,,,,,51,4,,0.910825312,,,,Base Offense,,,,,,,51,4,,0.55,,,,Base Offense,,,,,,,51,4,,0.550000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push the Ball,,,,,,,61,4,,0.875380184,,,,Push the Ball,,,,,,,61,4,,0.903601612,,,,Push the Ball,,,,,,,61,4,,0.55,,,,Push the Ball,,,,,,,61,4,,0.759041302,,,,Push the Ball,,,,,,,61,4,,0.643924813,,,,Push the Ball,,,,,,,61,4,,0.766782479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Patient,,,,,,,71,4,,0.786648256,,,,Patient,,,,,,,71,4,,0.82186176,,,,Patient,,,,,,,71,4,,0.55,,,,Patient,,,,,,,71,4,,0.55,,,,Patient,,,,,,,71,4,,0.55,,,,Patient,,,,,,,71,4,,0.77619268,,,,energy2 vs minutes,,,,,,,,,,,energy2 vs minutes,,,,,,,,,,,stamina vs minutes,,,,,,,,,,,stamina vs minutes,,,,,,,,,
,Look Inside,,,,,,,81,4,,0.936227609,,,,Look Inside,,,,,,,81,4,,1.148298653,,,,Look Inside,,,,,,,81,4,,0.55,,,,Look Inside,,,,,,,81,4,,0.690188909,,,,Look Inside,,,,,,,81,4,,0.55,,,,Look Inside,,,,,,,81,4,,0.913055428,,,,,16,20,24,28,32,36,40,44,48,,,16,20,24,28,32,36,40,44,48,,,16,20,24,28,32,36,40,44,48,,,16,20,24,28,32,36,40,44,48
,Low Post,,,,,,,91,4,,0.835681603,,,,Low Post,,,,,,,91,4,,0.924056787,,,,Low Post,,,,,,,91,4,,0.55,,,,Low Post,,,,,,,91,4,,0.774823335,,,,Low Post,,,,,,,91,4,,0.694347713,,,,Low Post,,,,,,,91,4,,0.878750976,,,,1.4,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,.98,,1.4,,1.00,1.00,.99,.99,.98,.97,.95,.93,,10,1.00,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,,10,,1.00,1.00,.99,.99,.98,.98,.96,.95
,Motion,,,,,,,101,4,,0.848217806,,,,Motion,,,,,,,101,4,,0.889947414,,,,Motion,,,,,,,101,4,,0.681013438,,,,Motion,,,,,,,101,4,,0.789330199,,,,Motion,,,,,,,101,4,,0.658432877,,,,Motion,,,,,,,101,4,,0.87936871,,,,1.3,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,.98,,1.3,,1.00,1.00,.99,.99,.98,.97,.95,.93,,9,1.00,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,,9,,1.00,1.00,.99,.99,.98,.97,.96,.94
,Run and Gun,,,,,,,111,4,,0.889168939,,,,Run and Gun,,,,,,,111,4,,0.997019008,,,,Run and Gun,,,,,,,111,4,,0.639140882,,,,Run and Gun,,,,,,,111,4,,0.708037325,,,,Run and Gun,,,,,,,111,4,,0.55,,,,Run and Gun,,,,,,,111,4,,0.866999575,,,,1.2,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,.98,,1.2,,1.00,1.00,.99,.99,.98,.96,.95,.92,,8,1.00,1.00,1.00,1.00,1.00,1.00,.99,.99,.98,,8,,1.00,1.00,.99,.99,.98,.97,.95,.93
,Princeton,,,,,,,121,4,,0.871903614,,,,Princeton,,,,,,,121,4,,0.933117107,,,,Princeton,,,,,,,121,4,,0.655725993,,,,Princeton,,,,,,,121,4,,0.55710988,,,,Princeton,,,,,,,121,4,,0.689026433,,,,Princeton,,,,,,,121,4,,0.873462109,,,,1.1,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,.98,,1.1,,1.00,1.00,.99,.98,.97,.96,.94,.92,,7,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,.98,,7,,1.00,1.00,.99,.99,.98,.96,.95,.92
,Man to man,,,,,,,131,4,,0.647533639,,,,Man to man,,,,,,,131,4,,1.141810618,,,,Man to man,,,,,,,131,4,,0.638194252,,,,Man to man,,,,,,,131,4,,0.873018192,,,,Man to man,,,,,,,131,4,,0.670541363,,,,Man to man,,,,,,,131,4,,0.973899695,,,,1.0,1.00,1.00,1.00,1.00,1.00,.99,.99,.98,.98,,1.0,,1.00,1.00,.99,.98,.97,.96,.94,.91,,6,1.00,1.00,1.00,1.00,1.00,.99,.99,.99,.98,,6,,1.00,1.00,.99,.98,.97,.96,.94,.91
,2-3 Zone,,,,,,,141,4,,0.984098913,,,,2-3 Zone,,,,,,,141,4,,0.877929562,,,,2-3 Zone,,,,,,,141,3.999990726,,0.55,,,,2-3 Zone,,,,,,,141,4,,0.805865433,,,,2-3 Zone,,,,,,,141,4,,0.643840878,,,,2-3 Zone,,,,,,,141,4,,0.677305866,,,,0.9,1.00,1.00,1.00,1.00,1.00,.99,.99,.98,.98,,0.9,,1.00,.99,.99,.98,.97,.95,.93,.90,,5,1.00,1.00,1.00,1.00,1.00,.99,.99,.98,.98,,5,,1.00,.99,.99,.98,.97,.95,.93,.90
,3-2 Zone,,,,,,,151,4,,0.55,,,,3-2 Zone,,,,,,,151,4,,0.876509424,,,,3-2 Zone,,,,,,,151,4,,0.650443422,,,,3-2 Zone,,,,,,,151,4,,0.777139155,,,,3-2 Zone,,,,,,,151,4,,0.703457162,,,,3-2 Zone,,,,,,,151,4,,0.847213052,,,,0.8,1.00,1.00,1.00,1.00,.99,.99,.99,.98,.97,,0.8,,1.00,.99,.99,.98,.96,.94,.91,.88,,4,1.00,1.00,1.00,1.00,.99,.99,.98,.98,.97,,4,,1.00,.99,.99,.98,.96,.94,.91,.87
,1-3-1 Zone,,,,,,,161,4,,0.957422377,,,,1-3-1 Zone,,,,,,,161,4,,1.040323192,,,,1-3-1 Zone,,,,,,,161,4,,0.574114952,,,,1-3-1 Zone,,,,,,,161,4,,0.728624165,,,,1-3-1 Zone,,,,,,,161,4,,0.663317945,,,,1-3-1 Zone,,,,,,,161,4,,0.894060305,,,,0.7,1.00,1.00,1.00,1.00,.99,.99,.98,.97,.96,,0.7,,1.00,.99,.98,.97,.95,.93,.89,.85,,3,1.00,1.00,1.00,1.00,.99,.99,.98,.97,.96,,3,,1.00,.99,.98,.97,.95,.92,.88,.83
,Full Court Press,,,,,,,171,4,,0.813777475,,,,Full Court Press,,,,,,,171,4,,0.55,,,,Full Court Press,,,,,,,171,4,,0.673020535,,,,Full Court Press,,,,,,,171,4,,0.55,,,,Full Court Press,,,,,,,171,4,,0.5587995,,,,Full Court Press,,,,,,,171,4,,0.660233909,,,,0.6,1.00,1.00,1.00,.99,.99,.98,.98,.96,.95,,0.6,,.99,.99,.98,.96,.94,.90,.85,.79,,2,1.00,1.00,1.00,.99,.99,.98,.97,.96,.94,,2,,.99,.99,.97,.95,.92,.88,.82,.74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.00,1.00,.99,.99,.98,.96,.94,.91,.88,,1,,.99,.97,.95,.90,.84,.76,.64,.50
,Base Offense,,,,,,,Outside Scoring,,,,,,,Base Offense,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Base Offense,,,,,,,Rebounding,,,,,,,Base Offense,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.09,.12,.00,.00,.00,.00,.00,.00,.01,.00,.22,32%,,PG,.00,.01,.00,.00,.00,.01,.00,.00,.00,.00,.02,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.00,.00,.00,.04,.00,.05,15%,,PG,.00,.00,.00,.07,.00,.24,.01,.00,.00,.00,.32,49%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.12,.10,.00,.00,.00,.00,.00,.00,.01,.00,.23,33%,,SG,.00,.02,.00,.00,.00,.00,.02,.00,.00,.00,.04,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.06,17%,,SG,.00,.00,.00,.03,.00,.08,.00,.00,.00,.00,.11,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.10,.03,.00,.00,.00,.00,.00,.00,.01,.00,.14,20%,,SF,.00,.03,.00,.00,.00,.00,.12,.00,.00,.00,.16,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.01,.00,.00,.00,.00,.00,.00,.05,.00,.06,18%,,SF,.00,.00,.00,.04,.01,.09,.00,.00,.00,.00,.15,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.01,.02,.00,.00,.01,.00,.00,.00,.01,.00,.05,7%,,PF,.00,.02,.00,.00,.00,.00,.18,.00,.00,.00,.20,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.01,.00,.00,.00,.00,.00,.00,.06,.00,.08,22%,,PF,.00,.00,.00,.01,.01,.00,.01,.00,.01,.00,.03,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C,.00,.02,.00,.00,.02,.00,.00,.00,.01,.00,.05,8%,,C,.00,.00,.00,.01,.00,.00,.27,.00,.01,.00,.28,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,.00,.01,.00,.00,.00,.00,.00,.00,.08,.00,.09,27%,,C,.00,.00,.00,.00,.01,.00,.02,.00,.01,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,abs,.33,.28,.00,.00,.03,.01,.00,.00,.04,.00,.69,,,abs,.00,.07,.00,.01,.02,.01,.58,.00,.01,.00,.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abs,.00,.04,.00,.00,.00,.02,.01,.00,.27,.00,.35,,,abs,.00,.00,.00,.16,.03,.41,.04,.00,.02,.00,.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rel,47%,41%,%,%,5%,1%,%,%,6%,%,,,,rel,%,9%,%,2%,2%,2%,82%,%,2%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rel,%,11%,%,%,%,5%,3%,1%,79%,%,,,,rel,%,%,%,24%,4%,62%,6%,%,4%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Push the Ball,,,,,,,Outside Scoring,,,,,,,Push the Ball,,,,,,,Inside Scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Push the Ball,,,,,,,Rebounding,,,,,,,Push the Ball,,,,,,,Offensive Flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,JS,JR,OD,HA,DR,PA,IS,"ID",RB,SB,abs,rel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PG,.08,.14,.00,.02,.00,.02,.00,.00,.01,.00,.27,38%,,PG,.00,.00,.00,.01,.00,.02,.01,.00,.00,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PG,.00,.01,.00,.00,.00,.01,.00,.00,.05,.00,.06,19%,,PG,.00,.00,.00,.09,.00,.24,.01,.00,.00,.00,.34,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG,.08,.12,.00,.01,.00,.01,.00,.00,.01,.00,.25,35%,,SG,.00,.01,.00,.00,.00,.01,.02,.00,.00,.00,.05,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SG,.00,.01,.00,.00,.00,.01,.00,.00,.04,.00,.05,16%,,SG,.00,.00,.00,.03,.00,.10,.00,.00,.00,.00,.13,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SF,.07,.00,.00,.03,.01,.03,.00,.00,.00,.00,.14,20%,,SF,.00,.00,.00,.00,.00,.01,.13,.00,.00,.00,.15,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,.00,.01,.00,.00,.00,.01,.00,.00,.04,.00,.06,18%,,SF,.00,.00,.00,.03,.00,.11,.01,.00,.00,.00,.14,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PF,.03,.00,.00,.00,.00,.00,.00,.00,.00,.00,.04,5%,,PF,.00,.00,.00,.00,.00,.00,.19,.00,.00,.00,.19,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PF,.00,.01,.00,.00,.00,.01,.00,.00,.07,.00,.08,25%,,PF,.00,.00,.00,.02,.00,.02,.01,.00,.00,.00,.04,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
