training,positions,JS,JR,OD,HA,DR,PA,IS,ID,RB,SB,total_listed
Outside Shooting,PF,108,324,0,14,43,0,0,0,0,0,490
Outside Shooting,C,95,284,0,13,38,0,0,0,0,0,428
Outside Shooting,SG/PG,220,310,0,0,0,0,0,0,0,0,530
Outside Shooting,SG/SF,210,260,0,0,0,0,0,0,0,0,470
Outside Shooting,SF/PF,189,234,0,0,0,0,0,0,0,0,423
Outside Shooting,PF/C,168,208,0,0,0,0,0,0,0,0,376
Outside Shooting,Team,150,290,0,0,0,0,0,0,0,0,440
Jump Shot,PG/SG,470,140,0,60,50,0,0,0,0,0,720
Jump Shot,SF/PF,320,60,0,0,0,0,200,0,0,0,580
Jump Shot,SG/SF,440,130,0,50,70,0,0,0,0,0,690
Jump Shot,PF/C,396,117,0,45,63,0,0,0,0,0,621
Jump Shot,Team,180,0,0,0,0,0,0,0,0,0,180
Ball Handling,PG,0,0,100,600,350,0,0,0,0,0,1050
Ball Handling,SG,0,0,90,540,315,0,0,0,0,0,945
Ball Handling,SF,0,0,80,480,280,0,0,0,0,0,840
Ball Handling,PF,0,0,70,420,245,0,0,0,0,0,735
Ball Handling,C,0,0,60,360,210,0,0,0,0,0,630
Ball Handling,PG/SG,0,0,70,370,240,0,0,0,0,0,680
Ball Handling,SG/SF,0,0,63,333,216,0,0,0,0,0,612
Ball Handling,SF/PF,0,0,56,296,192,0,0,0,0,0,544
Ball Handling,PF/C,0,0,49,259,168,0,0,0,0,0,476
Ball Handling,PG/SG/SF,0,0,130,60,140,10,0,0,0,0,340
Ball Handling,SG/SF/PF,0,0,117,54,126,9,0,0,0,0,306
Ball Handling,SF/PF/C,0,0,104,48,112,8,0,0,0,0,272
Passing,PG,0,0,0,180,190,720,0,0,0,0,1090
Passing,SG,0,0,0,162,171,648,0,0,0,0,981
Passing,SF,0,0,0,144,152,576,0,0,0,0,872
Passing,PF,0,0,0,126,133,504,0,0,0,0,763
Passing,C,0,0,0,108,114,432,0,0,0,0,654
Passing,PG/SG,0,0,0,130,90,510,0,0,0,0,730
Passing,SG/SF,0,0,0,117,81,459,0,0,0,0,657
Passing,SF/PF,0,0,0,104,72,408,0,0,0,0,584
Passing,PF/C,0,0,0,91,63,357,0,0,0,0,511
Passing,Team,0,0,0,20,10,310,0,0,0,0,340
